counter,time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,cube_pose_x,cube_pose_y,right_gripper,right_j0_next,right_j1_next,right_j2_next,right_j3_next,right_j4_next,right_j5_next,right_j6_next,eef_pose_x,eef_pose_y,eef_pose_z,eef_pose_x_next,eef_pose_y_next,eef_pose_z_next
0,10.925,-0.8827795906,-0.4862997267,0.8154282582,2.7769111823,1.0142618883,-0.8597588411,1.9080314364,0.59,0.16,0,-0.5742403185,-0.5528574722,1.0207769464,2.463011487,1.6289378252,-0.8402827276,1.7140168518,0.3999919276,8.09464378823876E-06,-1.78347930105266E-05,0.5533227579,0.1142853822,-0.0126255957
1,11.125,-0.5742403185,-0.5528574722,1.0207769464,2.463011487,1.6289378252,-0.8402827276,1.7140168518,0.59,0.16,0,-0.5173653795,-0.5522553997,1.0647834243,2.3873538798,1.642384522,-0.8359406061,1.6793370556,0.5533227579,0.1142853822,-0.0126255957,0.5874410499,0.1645469792,0.0016139396
2,11.326,-0.5173653795,-0.5522553997,1.0647834243,2.3873538798,1.642384522,-0.8359406061,1.6793370556,0.59,0.16,0,-0.5173653795,-0.5522553997,1.0647834243,2.3873538798,1.642384522,-0.8359406061,1.6793370556,0.5874410499,0.1645469792,0.0016139396,0.5874410499,0.1645469792,0.0016139396
3,11.922,-0.7719706068,-0.5451315934,0.614656247,2.7006229506,0.8650690798,-0.6999525979,1.9758945749,0.69,0.23,0,-0.4636769762,-0.5329350801,0.8554620977,2.3073502837,1.5127284134,-0.8200901617,1.4623375876,0.4022271742,-0.0002816319,0.0010097707,0.5980799098,0.114236145,-0.0220805621
4,12.122,-0.4636769762,-0.5329350801,0.8554620977,2.3073502837,1.5127284134,-0.8200901617,1.4623375876,0.69,0.23,0,-0.2260305664,-0.533663134,0.9427446168,2.007727895,1.9267566797,-0.8144617834,1.4023230745,0.5980799098,0.114236145,-0.0220805621,0.6665783816,0.2619891631,-0.0023784256
5,12.322,-0.2260305664,-0.533663134,0.9427446168,2.007727895,1.9267566797,-0.8144617834,1.4023230745,0.69,0.23,0,-0.2260305664,-0.533663134,0.9427446168,2.007727895,1.9267566797,-0.8144617834,1.4023230745,0.6665783816,0.2619891631,-0.0023784256,0.6665783816,0.2619891631,-0.0023784256
6,13.167,-0.5511138177,-0.5783272592,0.2480601165,2.517062991,0.5289048599,-0.4031487023,2.2133026973,0.67,0.04,0,-0.21598448,-0.3253347194,-0.1403442471,2.0999304991,0.7215995895,0.2753358045,2.408419828,0.4007130472,0.0065163724,0.000163217,0.4188876428,-0.0073980747,-0.0761720328
7,13.372,-0.21598448,-0.3253347194,-0.1403442471,2.0999304991,0.7215995895,0.2753358045,2.408419828,0.67,0.04,0,0.061213138,-0.3232424105,-0.2754944894,1.7068259765,0.7162736502,0.4612970542,2.4133292319,0.4188876428,-0.0073980747,-0.0761720328,0.5895312603,0.0613878766,-0.0335804362
8,13.572,0.061213138,-0.3232424105,-0.2754944894,1.7068259765,0.7162736502,0.4612970542,2.4133292319,0.67,0.04,0,0.061213138,-0.3232424105,-0.2754944894,1.7068259765,0.7162736502,0.4612970542,2.4133292319,0.5895312603,0.0613878766,-0.0335804362,0.5895312603,0.0613878766,-0.0335804362
9,14.309,-0.4020516556,-0.5605173625,-0.0188375389,2.2077825748,-0.1386564415,-0.0713621297,2.8690778085,0.5,0.23,0,-0.0814811305,-0.5268503117,-0.0785114842,2.0688001872,0.427864756,0.1151256153,2.6880347701,0.399472639,-0.0043219447,-0.001656216,0.4902247544,0.0765350045,-0.0101529054
10,14.509,-0.0814811305,-0.5268503117,-0.0785114842,2.0688001872,0.427864756,0.1151256153,2.6880347701,0.5,0.23,0,0.2529024011,-0.5355037755,-0.0842274658,2.0132676359,0.6886574035,0.1181377278,2.6709690669,0.4902247544,0.0765350045,-0.0101529054,0.5039815301,0.2296657162,0.0021796351
11,14.713,0.2529024011,-0.5355037755,-0.0842274658,2.0132676359,0.6886574035,0.1181377278,2.6709690669,0.5,0.23,0,0.2529024011,-0.5355037755,-0.0842274658,2.0132676359,0.6886574035,0.1181377278,2.6709690669,0.5039815301,0.2296657162,0.0021796351,0.5039815301,0.2296657162,0.0021796351
12,15.547,-0.4208446926,-0.5647477964,0.0033426558,2.281932028,0.0531111899,-0.1543266174,2.6803193645,0.53,0.35,0,-0.1098594755,-0.6663488499,0.3501419735,2.1758777747,0.6903385672,-0.4378703882,1.9237713024,0.4021559701,-0.004242776,-0.0002801629,0.5865610553,0.2085068578,0.0485495323
13,15.749,-0.1098594755,-0.6663488499,0.3501419735,2.1758777747,0.6903385672,-0.4378703882,1.9237713024,0.53,0.35,0,0.2298480785,-0.6658555175,0.5089756543,2.1430241908,1.3591320448,-0.4321680212,1.7623762511,0.5865610553,0.2085068578,0.0485495323,0.5284937654,0.4055208448,0.0346966344
14,15.949,0.2298480785,-0.6658555175,0.5089756543,2.1430241908,1.3591320448,-0.4321680212,1.7623762511,0.53,0.35,0,0.2585342307,-0.6567761762,0.5286475105,2.1422499252,1.9471777736,-0.4308778368,1.7663253127,0.5284937654,0.4055208448,0.0346966344,0.5169539321,0.3530107541,-0.0045318718
15,16.149,0.2585342307,-0.6567761762,0.5286475105,2.1422499252,1.9471777736,-0.4308778368,1.7663253127,0.53,0.35,0,0.2585342307,-0.6567761762,0.5286475105,2.1422499252,1.9471777736,-0.4308778368,1.7663253127,0.5169539321,0.3530107541,-0.0045318718,0.5169539321,0.3530107541,-0.0045318718
16,16.999,-0.4497950611,-0.5678925511,0.0329916696,2.3361444482,0.1717365434,-0.2072626335,2.548592397,0.55,0.07,0,-0.1189683266,-0.5208821846,-0.0805152116,2.0652905872,0.6725629186,0.126731008,2.3856944064,0.4006375503,-0.0075532986,4.11867088799534E-05,0.5191157779,0.0395449192,-0.0102947982
17,17.199,-0.1189683266,-0.5208821846,-0.0805152116,2.0652905872,0.6725629186,0.126731008,2.3856944064,0.55,0.07,0,-0.1189683266,-0.5208821846,-0.0805152116,2.0652905872,0.6725629186,0.126731008,2.3856944064,0.5191157779,0.0395449192,-0.0102947982,0.5191157779,0.0395449192,-0.0102947982
18,17.942,-0.4954882255,-0.5688954718,0.1127294863,2.4240318922,0.3560214005,-0.287919081,2.3846125751,0.53,-0.37,0,-0.6221948932,-0.3434475049,-0.2052981405,2.0393792569,0.7704167999,0.3342797003,1.8028353015,0.3971236458,-0.0043718568,-0.0015399798,0.3944595552,-0.2192996075,-0.061601834
19,18.142,-0.6221948932,-0.3434475049,-0.2052981405,2.0393792569,0.7704167999,0.3342797003,1.8028353015,0.53,-0.37,0,-0.6174876613,-0.3490927216,-0.3044251284,1.6905504424,0.7885358674,0.413922996,1.6899124509,0.3944595552,-0.2192996075,-0.061601834,0.5076531719,-0.3577599416,-0.0099805815
