counter,time,cube_pose_x,cube_pose_y,eef_pose_x,eef_pose_y,eef_pose_z,eef_vel_x,eef_vel_y,eef_vel_z,eef_pose_x_next,eef_pose_y_next,eef_pose_z_next,eef_vel_x_next,eef_vel_y_next,eef_vel_z_next
0,10.598,0.77,0.12,0.4000936618,1.48822220018E-05,-0.1356357195,-1.07619482636E-08,-8.14310693298E-07,7.46547651557E-09,0.4285050949,0.0023628088,-0.1682056491,0.5320514762,0.3956627305,-0.3186145904
1,10.698,0.77,0.12,0.4285050949,0.0023628088,-0.1682056491,0.5320514762,0.3956627305,-0.3186145904,0.4772030937,0.067788631,-0.1902764396,0.6176825501,0.7823275419,-0.0867886209
2,10.798,0.77,0.12,0.4772030937,0.067788631,-0.1902764396,0.6176825501,0.7823275419,-0.0867886209,0.5509208325,0.1477529559,-0.1866636436,0.9278678306,0.8667705374,0.1505371106
3,10.898,0.77,0.12,0.5509208325,0.1477529559,-0.1866636436,0.9278678306,0.8667705374,0.1505371106,0.6491910016,0.1956188455,-0.1657702561,1.0131345303,0.033998459,0.2478846503
4,10.998,0.77,0.12,0.6491910016,0.1956188455,-0.1657702561,1.0131345303,0.033998459,0.2478846503,0.7334424381,0.1636482486,-0.1427442056,0.6312873403,-0.5434451283,0.1769287077
5,11.099,0.77,0.12,0.7334424381,0.1636482486,-0.1427442056,0.6312873403,-0.5434451283,0.1769287077,0.775899549,0.1139504406,-0.1308898992,0.1509133215,-0.3199817303,0.0711600146
6,11.199,0.77,0.12,0.775899549,0.1139504406,-0.1308898992,0.1509133215,-0.3199817303,0.0711600146,0.3956004258,-0.0010487815,-0.1364491182,-0.1769005513,-0.1942574055,-0.0231379858
7,11.928,0.65,0.04,0.3956004258,-0.0010487815,-0.1364491182,-0.1769005513,-0.1942574055,-0.0231379858,0.4806876826,-0.0002310435,-0.1461451262,1.6614626861,0.2973923239,0.0579692079
8,12.028,0.65,0.04,0.4806876826,-0.0002310435,-0.1461451262,1.6614626861,0.2973923239,0.0579692079,0.6203750576,0.0597866472,-0.1252443613,0.6658652142,0.7019550361,0.1605655896
9,12.129,0.65,0.04,0.6203750576,0.0597866472,-0.1252443613,0.6658652142,0.7019550361,0.1605655896,0.650074768,0.0976406992,-0.1219925336,0.0656414288,0.0473714387,-0.0822765907
10,12.228,0.65,0.04,0.650074768,0.0976406992,-0.1219925336,0.0656414288,0.0473714387,-0.0822765907,0.6410665299,0.0647172396,-0.13592111,-0.0076009609,-0.5852730091,-0.1013139726
11,12.329,0.65,0.04,0.6410665299,0.0647172396,-0.13592111,-0.0076009609,-0.5852730091,-0.1013139726,0.401808767,0.0075649158,-0.1352688048,-0.0410683985,0.0529258435,-0.0235254368
12,13.083,0.66,0.28,0.401808767,0.0075649158,-0.1352688048,-0.0410683985,0.0529258435,-0.0235254368,0.5290536473,0.0219951635,-0.1495855072,1.9671615503,0.5569959759,0.0875699408
13,13.183,0.66,0.28,0.5290536473,0.0219951635,-0.1495855072,1.9671615503,0.5569959759,0.0875699408,0.6935998169,0.1045113341,-0.1184114642,1.067709297,1.0000023235,0.4102028195
14,13.284,0.66,0.28,0.6935998169,0.1045113341,-0.1184114642,1.067709297,1.0000023235,0.4102028195,0.7382498156,0.2104160419,-0.0947841812,-0.0919173656,1.0753952983,0.0253401293
15,13.385,0.66,0.28,0.7382498156,0.2104160419,-0.0947841812,-0.0919173656,1.0753952983,0.0253401293,0.6969593999,0.3062470534,-0.1080774251,-0.6013041816,0.6941659501,-0.2522489475
16,13.483,0.66,0.28,0.6969593999,0.3062470534,-0.1080774251,-0.6013041816,0.6941659501,-0.2522489475,0.6446989398,0.3260025091,-0.1350297937,-0.249314408,-0.2740391336,-0.2203760897
